State,X,Y,2018,2019,2020,2021,2022,2023,Pop_2018,Pop_2019,Pop_2020,Pop_2021,Pop_2022,Pop_2023,Rate_2018,Rate_2019,Rate_2020,Rate_2021,Rate_2022,Rate_2023,Perc_2019,Parc_2020,Perc_2021,Perc_2022,Perc_2023,Num_2019,Num_2020,Num_2021,Num_2022,Num_2023,Chg_2019,Chg_2020,Chg_2021,Chg_2022,Chg_2023,Ovr_Chag
Alabama,32.83,-86.63,953,930,934,983,988,974,4891628,4907965,5033094,5049196,5076181,5117673,19.48226644,18.94879038,18.55717378,19.46844607,19.46345097,19.03208744,0.972617352,0.979332897,1.0491062,0.999743426,0.977837253,-2.738264836,-2.06671032,4.910620002,-0.0256574,-2.216274668,-23,4,49,5,-14,21
Arkansas,34.799999,-92.199997,520,511,651,692,637,596,3012161,3020985,3014546,3026870,3047704,3069463,17.26335345,16.91501282,21.59529163,22.86190025,20.90097989,19.41707719,0.97982196,1.276693779,1.058652073,0.914227586,0.9290032,-2.017803987,27.66937785,5.865207283,-8.577241351,-7.099680035,-9,140,41,-55,-41,76
Delaware,39.35,-75.51,111,132,116,136,162,135,966985,976668,991928,1005062,1020625,1036423,11.47897847,13.51533991,11.69439717,13.53150353,15.87262707,13.02556968,1.177399186,0.865268447,1.157092865,1.173012817,0.820630991,17.73991859,-13.47315531,15.70928649,17.30128165,-17.93690092,21,-16,20,26,-27,24
Florida,27.83,-81.72,3135,3185,3329,3741,3548,3396,21254926,21492056,21592035,21831949,22379312,22904868,14.74952206,14.8194291,15.41772232,17.13543761,15.85392795,14.82654255,1.004739613,1.040372218,1.111411741,0.925212901,0.935196791,0.473961333,4.037221834,11.14117411,-7.478709854,-6.480320856,50,144,412,-193,-152,261
Georgia,33.24,-83.44,1505,1492,1658,1809,1796,1615,10519389,10628020,10732888,10792060,10931805,11064432,14.30691459,14.03836274,15.44784591,16.76232341,16.42912584,14.5963209,0.981229227,1.100402247,1.085091314,0.980122232,0.888441725,-1.877077331,10.04022473,8.509131363,-1.987776777,-11.15582753,-13,166,151,-13,-181,110
Kentucky,37.83,-84.27,725,732,780,806,744,814,4464273,4472345,4508318,4507583,4519233,4550595,16.24004625,16.36725253,17.30135274,17.88097967,16.4629706,17.88777072,1.007832876,1.05707129,1.033501827,0.92069735,1.086545749,0.783287638,5.707129013,3.350182718,-7.930265022,8.654574912,7,48,26,-62,70,89
Louisiana,30.39,-92.33,771,727,828,971,906,811,4664450,4658285,4652301,4627971,4593687,4588071,16.52927998,15.606602,17.79764465,20.98111678,19.72271946,17.67627397,0.944179179,1.140392037,1.178870418,0.940022386,0.896239183,-5.582082099,14.03920372,17.88704175,-5.997761366,-10.37608173,-44,101,143,-65,-95,40
Maryland,39.04,-76.64,512,535,573,563,566,621,6042153,6054954,6177935,6179403,6192440,6217062,8.473800647,8.835740123,9.274943812,9.110912494,9.140177378,9.988640937,1.042712767,1.049707629,0.982314576,1.003212069,1.09282791,4.27127674,4.970762869,-1.768542442,0.321206941,9.282790959,23,38,-10,3,55,109
Mississippi,32.35,-89.4,663,642,748,766,703,732,2982879,2978227,2958536,2947209,2941939,2943172,22.22684863,21.55644953,25.28277499,25.99069153,23.89580477,24.87112544,0.96983832,1.1728636,1.027999954,0.919398576,1.04081556,-3.016168019,17.28636,2.799995405,-8.06014244,4.081556049,-21,106,18,-63,29,69
North Carolina,35.78,-80.79,1436,1457,1538,1693,1631,1561,10391358,10501384,10449652,10564320,10710793,10881189,13.81917551,13.8743617,14.71819349,16.02564103,15.22763067,14.34585871,1.00399345,1.060819503,1.088832066,0.950204154,0.942093949,0.399345041,6.081950299,8.883206629,-4.979584612,-5.790605114,21,81,155,-62,-70,125
Oklahoma,36.08,-96.92,655,640,653,762,710,718,3943488,3960676,3965415,3992238,4026229,4063882,16.60966129,16.15885773,16.46738109,19.0870384,17.63436705,17.66783583,0.972858955,1.019093142,1.159081598,0.92389226,1.001897929,-2.714104499,1.909314189,15.90815983,-7.610773977,0.189792926,-15,13,109,-52,8,63
South Carolina,33.83,-81.16,1036,1006,1066,1198,1094,1047,5091702,5157702,5132249,5194274,5287935,5387830,20.34683098,19.50481048,20.77062122,23.06385839,20.68860529,19.4326844,0.958616627,1.064897362,1.110407732,0.897014061,0.939294077,-4.138337347,6.489736205,11.04077315,-10.29859387,-6.070592329,-30,60,132,-104,-47,11
Tennessee,35.86,-86.66,1040,1136,1217,1327,1313,1323,6778180,6830325,6927904,6965740,7062217,7148304,15.34335176,16.63171225,17.56664065,19.05038086,18.59189543,18.50788663,1.083968648,1.056213598,1.084463515,0.975933005,0.995481429,8.396864774,5.621359835,8.446351512,-2.406699545,-0.451857148,96,81,110,-14,10,283
Texas,31.8,-94.18,3648,3619,3876,4500,4408,4291,28624564,28986794,29239570,29570351,30113488,30727890,12.74429892,12.48499575,13.25600889,15.21794584,14.63795891,13.96451237,0.979653399,1.061755178,1.148003593,0.961887962,0.953993139,-2.034660091,6.175517849,14.8003593,-3.811203798,-4.6006861,-29,257,624,-92,-117,643
Virginia,37.43,-78.66,820,831,850,973,1006,913,8510920,8556642,8637615,8658910,8683414,8734685,9.634681092,9.711753746,9.840679401,11.23698017,11.58530504,10.45258072,1.007999502,1.013275219,1.141890688,1.030998085,0.902227492,0.799950238,1.327521861,14.18906883,3.099808515,-9.777250761,11,19,123,33,-93,93
West Virginia,38.6,-80.45,294,260,267,282,266,260,1805953,1795263,1791646,1785618,1774122,1770495,16.27949343,14.48255771,14.90249748,15.79285155,14.99333191,14.68515867,0.889619678,1.028996244,1.059745292,0.949374587,0.97944598,-11.03803217,2.899624359,5.974529248,-5.062541335,-2.055401991,-34,7,15,-16,-6,-34
